reference_number,reading_date,vendor,outdoor_temp_c,flow_temp_c,return_temp_c,dhw_actual_c,electrical_energy_kwh,thermal_energy_kwh,compressor_starts,defrost_cycles,error_code_raw,status_raw
 TH-02012,2026-06-01,A,17.2,30.8,23.7,47.6,1.81,6.6,8,0,,OK
 TH-02028,2026-06-01,A,17.2,33.4,28.1,46.5,1.86,6.8,11,0,,OK
 TH-02031,2026-06-01,A,17.2,31.8,26.0,51.9,1.22,4.8,11,0,,OK
 TH-02044,2026-06-01,A,17.2,31.7,24.8,49.7,0.98,3.1,8,0,,OK
 TH-02068,2026-06-01,A,17.2,31.2,24.5,50.3,1.97,7.3,11,0,,OK
 TH-02148,2026-06-01,B,17.2,,,,12857.3,,8,0,3104,2
 TH-02153,2026-06-01,B,17.2,32.8,27.4,,18977.5,,9,0,6021,0
 TH-02158,2026-06-01,B,17.2,,,,7020.8,,7,0,6021,0
 TH-02159,2026-06-01,B,17.2,,,,12025.2,,12,0,6021,0
 TH-02180,2026-06-01,B,17.2,,,,11557.8,,9,0,,0
 TH-02185,2026-06-01,B,17.2,,,,25174.8,,12,0,,0
 TH-02192,2026-06-01,B,17.2,,,,23327.4,,10,0,,0
 TH-02247,2026-06-01,B,17.2,,,,5426.6,,10,0,6021,0
 TH-02271,2026-06-01,B,17.2,,,,4891.8,,11,0,,0
 TH-02285,2026-06-01,B,17.2,,,,12770.0,,2,0,,0
 TH-02303,2026-06-01,C,17.2,,,,1.16,,,0,,warn
 TH-02336,2026-06-01,C,17.2,,,,1.61,,,0,,warn
 TH-02359,2026-06-01,C,17.2,,,,1.68,,,0,,OK
 TH-02366,2026-06-01,C,17.2,,,,1.64,,,0,,OK
 TH-02367,2026-06-01,C,17.2,30.8,,,0.97,,,0,,
 TH-02371,2026-06-01,C,17.2,,,,1.12,,,0,,
 TH-02381,2026-06-01,C,17.2,,,,1.48,,,0,,warn
 TH-02399,2026-06-01,C,17.2,,,,1.09,,,0,,OK
